file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,
log2025-06-10 03:59:48.123047.txt,campus_processed,0.1,FGSM,mixup,Mixup,擾動,13.8870471,18.85226899,
log2025-06-10 03:59:48.123047.txt,campus_processed,0.1,FGSM,mixup,Mixup,未擾動,11.22456245,16.6988386,
log2025-06-10 03:59:48.123047.txt,campus_processed,0.1,FGSM,mixup,Normal,擾動,16.62570772,21.67621652,
log2025-06-10 03:59:48.123047.txt,campus_processed,0.1,FGSM,mixup,Normal,未擾動,9.07434721,13.56654836,
log2025-06-10 04:10:56.478748.txt,campus_processed,0.1,FGSM,AT,Mixup,擾動,11.75106182,17.32538183,
log2025-06-10 04:10:56.478748.txt,campus_processed,0.1,FGSM,AT,Mixup,未擾動,10.10463743,15.72570164,
log2025-06-10 04:10:56.478748.txt,campus_processed,0.1,FGSM,AT,Normal,擾動,16.52291737,21.64729964,
log2025-06-10 04:10:56.478748.txt,campus_processed,0.1,FGSM,AT,Normal,未擾動,8.805970573,13.30159473,
log2025-06-10 04:27:29.775575.txt,campus_processed,0.1,Normal,mixup,Mixup,擾動,10.36579237,16.69470926,Normal(黑盒)攻擊，Normal Model跑得就可以
log2025-06-10 04:27:29.775575.txt,campus_processed,0.1,Normal,mixup,Mixup,未擾動,11.55790453,17.34605566,
log2025-06-10 04:27:29.775575.txt,campus_processed,0.1,Normal,mixup,Normal,擾動,9.475484657,15.19644336,
log2025-06-10 04:27:29.775575.txt,campus_processed,0.1,Normal,mixup,Normal,未擾動,9.053484917,13.56601809,
log2025-06-10 04:35:58.877936.txt,campus_processed,0.1,Normal,AT,Mixup,擾動,10.12301579,16.34583874,
log2025-06-10 04:35:58.877936.txt,campus_processed,0.1,Normal,AT,Mixup,未擾動,10.40660448,15.98117012,
log2025-06-10 04:35:58.877936.txt,campus_processed,0.1,Normal,AT,Normal,擾動,9.40149498,15.17698072,
log2025-06-10 04:35:58.877936.txt,campus_processed,0.1,Normal,AT,Normal,未擾動,8.957317638,13.27647071,
log2025-06-10 04:50:50.788955.txt,campus_processed,0.2,FGSM,mixup,Mixup,擾動,15.35989609,21.08520147,
log2025-06-10 04:50:50.788955.txt,campus_processed,0.2,FGSM,mixup,Mixup,未擾動,11.91468115,17.71968231,
log2025-06-10 04:50:50.788955.txt,campus_processed,0.2,FGSM,mixup,Normal,擾動,26.24643764,34.9346411,
log2025-06-10 04:50:50.788955.txt,campus_processed,0.2,FGSM,mixup,Normal,未擾動,8.761274338,13.06784686,
log2025-06-10 04:59:21.054235.txt,campus_processed,0.2,FGSM,AT,AT,擾動,12.60726891,19.42404958,AT > mixup
log2025-06-10 04:59:21.054235.txt,campus_processed,0.2,FGSM,AT,AT,未擾動,10.60920944,16.99597583,
log2025-06-10 04:59:21.054235.txt,campus_processed,0.2,FGSM,AT,Normal,擾動,24.95064487,33.38072777,
log2025-06-10 04:59:21.054235.txt,campus_processed,0.2,FGSM,AT,Normal,未擾動,9.140110207,13.4883187,
log2025-06-10 05:14:31.564936.txt,campus_processed,0.2,Normal,mixup,Mixup,擾動,11.17598915,17.51479225,
log2025-06-10 05:14:31.564936.txt,campus_processed,0.2,Normal,mixup,Mixup,未擾動,11.49552202,16.95244391,
log2025-06-10 05:14:31.564936.txt,campus_processed,0.2,Normal,mixup,Normal,擾動,12.11347589,19.37236022,Normal(黑盒)攻擊 20% ，Normal Model跑輸了，AT獲勝
log2025-06-10 05:14:31.564936.txt,campus_processed,0.2,Normal,mixup,Normal,未擾動,9.116344309,13.56982784,
log2025-06-10 05:25:03.028841.txt,campus_processed,0.2,Normal,AT,AT,擾動,10.54920626,16.92371789,
log2025-06-10 05:25:03.028841.txt,campus_processed,0.2,Normal,AT,AT,未擾動,10.86017218,17.41204508,
log2025-06-10 05:25:03.028841.txt,campus_processed,0.2,Normal,AT,Normal,擾動,12.11920567,19.54766722,
log2025-06-10 05:25:03.028841.txt,campus_processed,0.2,Normal,AT,Normal,未擾動,8.833816338,13.24089182,
log2025-06-10 05:37:46.010443.txt,CERNET,0.1,FGSM,mixup,Mixup,擾動,2088.217358,2686.665763,mixup比AT好一點 if 0.1
log2025-06-10 05:37:46.010443.txt,CERNET,0.1,FGSM,mixup,Mixup,未擾動,1367.842432,1892.972967,
log2025-06-10 05:37:46.010443.txt,CERNET,0.1,FGSM,mixup,Normal,擾動,2327.45332,2909.256679,
log2025-06-10 05:37:46.010443.txt,CERNET,0.1,FGSM,mixup,Normal,未擾動,1310.211133,1760.483453,
log2025-06-10 05:44:39.159663.txt,CERNET,0.1,FGSM,AT,Mixup,擾動,2124.556689,2711.818154,
log2025-06-10 05:44:39.159663.txt,CERNET,0.1,FGSM,AT,Mixup,未擾動,1501.164087,2018.620799,
log2025-06-10 05:44:39.159663.txt,CERNET,0.1,FGSM,AT,Normal,擾動,2429.206274,2982.053599,
log2025-06-10 05:44:39.159663.txt,CERNET,0.1,FGSM,AT,Normal,未擾動,1314.560071,1760.624455,
log2025-06-10 05:51:15.262144.txt,CERNET,0.1,Normal,mixup,Mixup,擾動,1932.693604,2623.346405,Dataset 2 AT、Mixup 在Normal的情況下有效
log2025-06-10 05:51:15.262144.txt,CERNET,0.1,Normal,mixup,Mixup,未擾動,1445.399609,1987.079542,
log2025-06-10 05:51:15.262144.txt,CERNET,0.1,Normal,mixup,Normal,擾動,2272.115552,2797.653693,
log2025-06-10 05:51:15.262144.txt,CERNET,0.1,Normal,mixup,Normal,未擾動,1271.620288,1730.908409,
log2025-06-10 05:57:56.253279.txt,CERNET,0.1,Normal,AT,Mixup,擾動,1906.266296,2553.406457,
log2025-06-10 05:57:56.253279.txt,CERNET,0.1,Normal,AT,Mixup,未擾動,1491.989563,2017.024446,
log2025-06-10 05:57:56.253279.txt,CERNET,0.1,Normal,AT,Normal,擾動,2408.786548,2963.544308,
log2025-06-10 05:57:56.253279.txt,CERNET,0.1,Normal,AT,Normal,未擾動,1364.474988,1833.687116,
log2025-06-10 06:04:29.959322.txt,CERNET,0.2,FGSM,mixup,Mixup,擾動,2626.603296,3497.07985,
log2025-06-10 06:04:29.959322.txt,CERNET,0.2,FGSM,mixup,Mixup,未擾動,1406.198486,2019.492953,
log2025-06-10 06:04:29.959322.txt,CERNET,0.2,FGSM,mixup,Normal,擾動,3626.618506,4706.439899,
log2025-06-10 06:04:29.959322.txt,CERNET,0.2,FGSM,mixup,Normal,未擾動,1347.423181,1822.219212,
log2025-06-10 06:11:39.120909.txt,CERNET,0.2,FGSM,AT,Mixup,擾動,2491.085034,3357.258904,
log2025-06-10 06:11:39.120909.txt,CERNET,0.2,FGSM,AT,Mixup,未擾動,1822.628186,2506.260676,
log2025-06-10 06:11:39.120909.txt,CERNET,0.2,FGSM,AT,Normal,擾動,3633.167358,4658.517559,
log2025-06-10 06:11:39.120909.txt,CERNET,0.2,FGSM,AT,Normal,未擾動,1288.686621,1737.191712,
log2025-06-10 06:18:04.865421.txt,CERNET,0.2,Normal,mixup,Mixup,擾動,2825.657788,3649.039999,黑盒攻擊 AT更好，但是未擾動時也偏高
log2025-06-10 06:18:04.865421.txt,CERNET,0.2,Normal,mixup,Mixup,未擾動,1544.146216,2143.570284,
log2025-06-10 06:18:04.865421.txt,CERNET,0.2,Normal,mixup,Normal,擾動,3920.368115,4593.46956,
log2025-06-10 06:18:04.865421.txt,CERNET,0.2,Normal,mixup,Normal,未擾動,1296.254468,1738.237805,
log2025-06-10 06:24:39.971342.txt,CERNET,0.2,Normal,AT,Mixup,擾動,2392.288721,3471.753416,
log2025-06-10 06:24:39.971342.txt,CERNET,0.2,Normal,AT,Mixup,未擾動,1788.68783,2506.076962,
log2025-06-10 06:24:39.971342.txt,CERNET,0.2,Normal,AT,Normal,擾動,4100.265479,4752.419771,
log2025-06-10 06:24:39.971342.txt,CERNET,0.2,Normal,AT,Normal,未擾動,1257.456396,1710.933063,
,,,,,,,,,可能是資料集2點比較少 之後再驗證
,,,,,,,,,結論：用第一個資料集，0.2掰故事，可以保留Normal。
,,,,,,,,,如果要用0.1的話，就不能Normal注入。